artist_name,track_name,album_name,album_release_year,danceability,energy,key,loudness,instrumentalness,valence,tempo,duration_ms
Taylor Swift,willow,Evermore,2020,0.392,0.574,7,-9.195,0.00179,0.529,81.112,214706
Taylor Swift,champagne problems,Evermore,2020,0.462,0.24,0,-12.077,0,0.32,171.319,244000
Taylor Swift,gold rush,Evermore,2020,0.512,0.462,9,-10.491,0.166,0.353,112.05,185320
Taylor Swift,‘tis the damn season,Evermore,2020,0.575,0.434,5,-8.193,6.59e-5,0.348,145.916,229840
Taylor Swift,tolerate it,Evermore,2020,0.316,0.361,9,-10.381,2.67e-5,0.221,74.952,245440
Taylor Swift,"no body, no crime (feat. HAIM)",Evermore,2020,0.546,0.613,7,-7.589,0,0.535,79.015,215626
Taylor Swift,happiness,Evermore,2020,0.559,0.334,11,-10.733,0,0.211,122.079,315146
Taylor Swift,dorothea,Evermore,2020,0.605,0.488,4,-8.322,0,0.354,119.966,225880
Taylor Swift,coney island (feat. The National),Evermore,2020,0.537,0.537,8,-11.266,9.04e-4,0.292,107.895,275320
Taylor Swift,ivy,Evermore,2020,0.515,0.545,2,-9.277,1.97e-5,0.535,88.856,260440
Taylor Swift,cowboy like me,Evermore,2020,0.604,0.517,0,-9.014,1.55e-4,0.511,127.967,275040
Taylor Swift,long story short,Evermore,2020,0.546,0.73,0,-7.704,0.179,0.573,157.895,215920
Taylor Swift,marjorie,Evermore,2020,0.535,0.561,5,-11.609,1.36e-4,0.287,96.103,257773
Taylor Swift,closure,Evermore,2020,0.689,0.704,9,-10.813,4.83e-6,0.92,151.884,180653
Taylor Swift,evermore (feat. Bon Iver),Evermore,2020,0.39,0.27,1,-10.673,0.00227,0.32,125.177,304106
Taylor Swift,I Forgot That You Existed,Lover,2019,0.664,0.316,5,-10.345,2.03e-6,0.541,92.875,170640
Taylor Swift,Cruel Summer,Lover,2019,0.552,0.702,9,-5.707,2.06e-5,0.564,169.994,178426
Taylor Swift,Lover,Lover,2019,0.359,0.543,7,-7.582,1.58e-5,0.453,68.534,221306
Taylor Swift,The Man,Lover,2019,0.777,0.658,0,-5.191,0,0.633,110.048,190360
Taylor Swift,The Archer,Lover,2019,0.292,0.574,0,-9.375,0.00569,0.166,124.344,211240
Taylor Swift,I Think He Knows,Lover,2019,0.897,0.366,0,-8.029,3.53e-4,0.416,100.003,173386
Taylor Swift,Miss Americana & The Heartbreak Prince,Lover,2019,0.662,0.747,11,-6.926,0.00615,0.487,150.088,234146
Taylor Swift,Paper Rings,Lover,2019,0.811,0.719,9,-6.553,1.36e-5,0.865,103.979,222400
Taylor Swift,Cornelia Street,Lover,2019,0.824,0.624,0,-9.728,1.89e-4,0.248,102.012,287266
Taylor Swift,Death By A Thousand Cuts,Lover,2019,0.712,0.732,4,-6.754,0,0.313,94.071,198533
Taylor Swift,London Boy,Lover,2019,0.695,0.71,1,-6.639,1.04e-4,0.557,157.925,190240
Taylor Swift,Soon You’ll Get Better (feat. The Chicks),Lover,2019,0.433,0.182,0,-12.566,0,0.421,207.476,201586
Taylor Swift,False God,Lover,2019,0.739,0.32,11,-10.862,1.47e-4,0.351,79.97,200306
Taylor Swift,You Need To Calm Down,Lover,2019,0.771,0.671,2,-5.617,0,0.714,85.026,171360
Taylor Swift,Afterglow,Lover,2019,0.756,0.449,9,-8.746,0,0.399,111.011,223293
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019,0.61,0.83,0,-4.105,0,0.728,182.162,193000
Taylor Swift,It’s Nice To Have A Friend,Lover,2019,0.737,0.175,10,-9.912,3.37e-4,0.545,70.008,150440
Taylor Swift,Daylight,Lover,2019,0.557,0.496,0,-9.602,1.73e-4,0.265,149.983,293453
Taylor Swift,...Ready For It?,Reputation,2017,0.613,0.764,2,-6.509,0,0.417,160.015,208186
Taylor Swift,End Game,Reputation,2017,0.649,0.589,2,-6.237,0,0.151,159.073,244826
Taylor Swift,I Did Something Bad,Reputation,2017,0.696,0.602,0,-6.156,2.11e-5,0.305,82.989,238253
Taylor Swift,Don’t Blame Me,Reputation,2017,0.615,0.534,9,-6.719,1.76e-5,0.193,135.917,236413
Taylor Swift,Delicate,Reputation,2017,0.75,0.404,9,-10.178,3.57e-4,0.0499,95.045,232253
Taylor Swift,Look What You Made Me Do,Reputation,2017,0.766,0.709,9,-6.471,1.41e-5,0.506,128.07,211853
Taylor Swift,So It Goes...,Reputation,2017,0.574,0.61,2,-7.283,1.1e-6,0.374,74.957,227906
Taylor Swift,Gorgeous,Reputation,2017,0.8,0.535,7,-6.684,9.48e-6,0.451,92.027,209680
Taylor Swift,Getaway Car,Reputation,2017,0.562,0.689,2,-6.745,2.23e-6,0.351,172.054,233626
Taylor Swift,King Of My Heart,Reputation,2017,0.675,0.703,0,-7.902,2.21e-6,0.314,110.01,214320
Taylor Swift,Dancing With Our Hands Tied,Reputation,2017,0.624,0.691,0,-6.686,1.1e-5,0.284,160.024,211506
Taylor Swift,Dress,Reputation,2017,0.719,0.469,0,-8.792,0,0.0851,120.085,230373
Taylor Swift,This Is Why We Can't Have Nice Things,Reputation,2017,0.567,0.789,5,-5.986,0,0.438,163.96,207133
Taylor Swift,Call It What You Want,Reputation,2017,0.598,0.504,9,-9.874,2.21e-4,0.252,163.954,203506
Taylor Swift,New Year’s Day,Reputation,2017,0.661,0.151,0,-12.864,0,0.23,94.922,235466
Taylor Swift,Welcome To New York,1989,2014,0.793,0.634,7,-4.807,1.76e-6,0.615,117.023,212600
Taylor Swift,Blank Space,1989,2014,0.752,0.678,5,-5.421,1.64e-6,0.583,96.009,231826
Taylor Swift,Style,1989,2014,0.598,0.786,2,-5.572,0.00143,0.456,95.021,231000
Taylor Swift,Out Of The Woods,1989,2014,0.552,0.841,7,-6.938,1.23e-5,0.342,91.993,235800
Taylor Swift,All You Had To Do Was Stay,1989,2014,0.602,0.735,5,-5.778,4.77e-5,0.472,96.969,193293
Taylor Swift,Shake It Off,1989,2014,0.648,0.785,7,-5.414,0,0.943,160.02,219200
Taylor Swift,I Wish You Would,1989,2014,0.649,0.898,0,-5.963,9.9e-5,0.503,118.027,207440
Taylor Swift,Bad Blood,1989,2014,0.652,0.802,7,-6.114,6.45e-6,0.295,170.157,211933
Taylor Swift,Wildest Dreams,1989,2014,0.553,0.664,8,-7.417,0.0056,0.467,140.06,220440
Taylor Swift,How You Get The Girl,1989,2014,0.764,0.659,5,-6.136,0.00458,0.525,119.982,247533
Taylor Swift,This Love,1989,2014,0.485,0.459,4,-8.768,0,0.0858,71.981,250093
Taylor Swift,I Know Places,1989,2014,0.595,0.763,0,-4.991,0,0.507,159.959,195706
Taylor Swift,Clean,1989,2014,0.81,0.38,4,-7.755,0,0.211,103.981,271000
Taylor Swift,State Of Grace,Red,2012,0.588,0.825,4,-5.882,0.00138,0.397,129.968,295186
Taylor Swift,Red,Red,2012,0.602,0.896,1,-4.267,8.87e-5,0.641,124.978,220826
Taylor Swift,Treacherous,Red,2012,0.705,0.621,2,-8.086,4.3e-6,0.395,109.993,240773
